Employee ID,Name,Department,Designation,Email,Phone,Date of Birth,Joining Date,Folder,Photo,Aadhaar,PAN,10th,12th,TC,Degree,Experience
EMP1001,Nila I,Sales,HR Executive,emp1001@example.com,9557981564,19-07-2000,26-04-2022,EMP1001,EMP1001/photo.jpg,EMP1001/aadhaar.pdf,EMP1001/pan.pdf,EMP1001/tenth.pdf,EMP1001/twelfth.pdf,EMP1001/tc.pdf,EMP1001/degree.pdf,EMP1001/experience.pdf
EMP1002,Guru K,Finance,AI Engineer,emp1002@example.com,9930565144,04-09-1994,14-04-2020,EMP1002,EMP1002/photo.jpg,EMP1002/aadhaar.pdf,EMP1002/pan.pdf,EMP1002/tenth.pdf,EMP1002/twelfth.pdf,EMP1002/tc.pdf,EMP1002/degree.pdf,EMP1002/experience.pdf
EMP1003,Rahul C,AI,AI Engineer,emp1003@example.com,9622659592,17-06-1997,23-02-2023,EMP1003,EMP1003/photo.jpg,EMP1003/aadhaar.pdf,EMP1003/pan.pdf,EMP1003/tenth.pdf,EMP1003/twelfth.pdf,EMP1003/tc.pdf,EMP1003/degree.pdf,EMP1003/experience.pdf
EMP1004,Aarav B,AI,Developer,emp1004@example.com,9779309544,13-07-1993,10-05-2024,EMP1004,EMP1004/photo.jpg,EMP1004/aadhaar.pdf,EMP1004/pan.pdf,EMP1004/tenth.pdf,EMP1004/twelfth.pdf,EMP1004/tc.pdf,EMP1004/degree.pdf,EMP1004/experience.pdf
EMP1005,Riya B,Finance,Data Analyst,emp1005@example.com,9036610844,17-02-1998,08-11-2024,EMP1005,EMP1005/photo.jpg,EMP1005/aadhaar.pdf,EMP1005/pan.pdf,EMP1005/tenth.pdf,EMP1005/twelfth.pdf,EMP1005/tc.pdf,EMP1005/degree.pdf,EMP1005/experience.pdf
EMP1006,Vihaan B,AI,Developer,emp1006@example.com,9437792123,06-01-1997,16-12-2021,EMP1006,EMP1006/photo.jpg,EMP1006/aadhaar.pdf,EMP1006/pan.pdf,EMP1006/tenth.pdf,EMP1006/twelfth.pdf,EMP1006/tc.pdf,EMP1006/degree.pdf,EMP1006/experience.pdf
EMP1007,Kavin B,AI,Software Engineer,emp1007@example.com,9311548460,28-10-1990,18-10-2020,EMP1007,EMP1007/photo.jpg,EMP1007/aadhaar.pdf,EMP1007/pan.pdf,EMP1007/tenth.pdf,EMP1007/twelfth.pdf,EMP1007/tc.pdf,EMP1007/degree.pdf,EMP1007/experience.pdf
EMP1008,Vihaan M,Finance,Developer,emp1008@example.com,9573130724,20-05-1996,21-06-2020,EMP1008,EMP1008/photo.jpg,EMP1008/aadhaar.pdf,EMP1008/pan.pdf,EMP1008/tenth.pdf,EMP1008/twelfth.pdf,EMP1008/tc.pdf,EMP1008/degree.pdf,EMP1008/experience.pdf
EMP1009,Vihaan Y,HR,Software Engineer,emp1009@example.com,9747490511,19-03-1999,16-07-2021,EMP1009,EMP1009/photo.jpg,EMP1009/aadhaar.pdf,EMP1009/pan.pdf,EMP1009/tenth.pdf,EMP1009/twelfth.pdf,EMP1009/tc.pdf,EMP1009/degree.pdf,EMP1009/experience.pdf
EMP1010,Nila K,Sales,Manager,emp1010@example.com,9687959777,01-09-2001,21-04-2025,EMP1010,EMP1010/photo.jpg,EMP1010/aadhaar.pdf,EMP1010/pan.pdf,EMP1010/tenth.pdf,EMP1010/twelfth.pdf,EMP1010/tc.pdf,EMP1010/degree.pdf,EMP1010/experience.pdf
